replacing_term,replaced_term_localName
http://rs-test.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,CoordinateUncertaintyInMeters
http://rs-test.tdwg.org/dwc/terms/decimalLatitude,DecimalLatitude
http://rs-test.tdwg.org/dwc/terms/decimalLongitude,DecimalLongitude
http://rs-test.tdwg.org/dwc/terms/footprintSpatialFit,FootprintSpatialFit
http://rs-test.tdwg.org/dwc/terms/footprintWKT,FootprintWKT
http://rs-test.tdwg.org/dwc/terms/geodeticDatum,GeodeticDatum
http://rs-test.tdwg.org/dwc/terms/georeferenceProtocol,GeoreferenceProtocol
http://rs-test.tdwg.org/dwc/terms/georeferenceRemarks,GeoreferenceRemarks
http://rs-test.tdwg.org/dwc/terms/georeferenceSources,GeoreferenceSources
http://rs-test.tdwg.org/dwc/terms/georeferenceVerificationStatus,GeoreferenceVerificationStatus
http://rs-test.tdwg.org/dwc/terms/pointRadiusSpatialFit,PointRadiusSpatialFit
http://rs-test.tdwg.org/dwc/terms/verbatimCoordinates,VerbatimCoordinates
http://rs-test.tdwg.org/dwc/terms/verbatimCoordinateSystem,VerbatimCoordinateSystem
http://rs-test.tdwg.org/dwc/terms/verbatimLatitude,VerbatimLatitude
http://rs-test.tdwg.org/dwc/terms/verbatimLongitude,VerbatimLongitude
