document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,rdf_type,term_localName
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/abcdEquivalence-2009-01-25,abcdEquivalence-2009-01-25,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2009-01-25,recommended,,,,ABCD Equivalence,Used to show the xpath(s) to the equivalent term(s) in the current version of the Access to Biological Collections Data (ABCD) schema.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,abcdEquivalence
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/organizedInClass-2009-08-24,organizedInClass-2009-08-24,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2009-08-24,recommended,,,,Organized in Class,Used to organize properties within classes for easier human understanding.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,organizedInClass
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/decision-2009-01-25,decision-2009-01-25,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2009-01-25,superseded,,,,Decision,Used to reference the formal decision that resulted in this version of the term.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,decision
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/status-2009-01-25,status-2009-01-25,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2009-01-25,recommended,,,,Status,Used to indicate if the term is recommended for use or if it is only of historical significance.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,status
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/Vocabulary-2017-06-06,Vocabulary-2017-06-06,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2017-06-06,recommended,,,,Vocabulary ,A collection of standardized terms. ,http://www.w3.org/2000/01/rdf-schema#Class,Vocabulary
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/TermList-2017-06-06,TermList-2017-06-06,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2017-06-06,recommended,,,,Term List ,"An IRI-identified set of terms that is part of a vocabulary and that includes terms within the vocabulary that are grouped in a particular way, such as falling within a particular namespace. ",http://www.w3.org/2000/01/rdf-schema#Class,TermList
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/layer-2017-09-23,layer-2017-09-23,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2017-09-23,recommended,,,,Layer,Used to indicate the centrality of vocabulary terms.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,layer
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/required-2017-09-23,required-2017-09-23,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2017-09-23,recommended,,,,Required,Indicates that a term is required to conform to a profile.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,required
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/repeatable-2017-09-23,repeatable-2017-09-23,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2017-09-23,recommended,,,,Repeatable,Indicates that the term may be repeated in a metadata record.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,repeatable
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/UseWithIRI-2017-09-30,UseWithIRI-2017-09-30,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2017-09-23,recommended,,,,Use with IRI,Indicates that the term should have an IRI value,http://www.w3.org/2000/01/rdf-schema#Class,UseWithIRI
2017-10-10T08:14:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/decision-2017-10-10,decision-2017-10-10,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2017-10-10,recommended,,,,Has Decision,Used to reference the formal decision that resulted in this version of the term.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,decision
2017-10-10T08:14:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/DecisionClass-2017-10-10,DecisionClass-2017-10-10,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2017-10-10,recommended,,,,A Decision,A decision made by the TDWG Executive Committee,http://www.w3.org/2000/01/rdf-schema#Class,DecisionClass
2018-06-14T13:58:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/Management-2018-06-14,Management-2018-06-14,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2018-06-14,recommended,,,,Management Category,Indicates that the term should be included in the Management category.,http://www.w3.org/2000/01/rdf-schema#Class,Management
2018-06-14T13:58:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/Attribution-2018-06-14,Attribution-2018-06-14,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2018-06-14,recommended,,,,Attribution Category,Indicates that the term should be included in the Attribution category.,http://www.w3.org/2000/01/rdf-schema#Class,Attribution
2018-06-14T13:58:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/ContentCoverage-2018-06-14,ContentCoverage-2018-06-14,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2018-06-14,recommended,,,,Content Coverage Category,Indicates that the term should be included in the Content Coverage category.,http://www.w3.org/2000/01/rdf-schema#Class,ContentCoverage
2018-06-14T13:58:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/TaxonomicCoverage-2018-06-14,TaxonomicCoverage-2018-06-14,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2018-06-14,recommended,,,,Taxonomic Coverage Category,Indicates that the term should be included in the Taxonomic Coverage category.,http://www.w3.org/2000/01/rdf-schema#Class,TaxonomicCoverage
2018-06-14T13:58:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/ResourceCreation-2018-06-14,ResourceCreation-2018-06-14,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2018-06-14,recommended,,,,Resource Creation Category,Indicates that the term should be included in the Resource Creation category.,http://www.w3.org/2000/01/rdf-schema#Class,ResourceCreation
2018-06-14T13:58:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/RelatedResource-2018-06-14,RelatedResource-2018-06-14,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2018-06-14,recommended,,,,Related Resources Category,Indicates that the term should be included in the Related Resources category.,http://www.w3.org/2000/01/rdf-schema#Class,RelatedResource
2018-06-14T13:58:00-05:00,http://rs-test.tdwg.org/dwc/terms/attributes/version/ServiceAccessPoint-2018-06-14,ServiceAccessPoint-2018-06-14,http://rs-test.tdwg.org/dwc/terms/attributes/version/,2018-06-14,recommended,,,,Service Access Point,"A specific digital representation of a resource (e.g., a specific resolution, quality, or format).",http://www.w3.org/2000/01/rdf-schema#Class,ServiceAccessPoint
